회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
無限알터, 27, 203, 24138286, 493855, 500, 204930, 175224865, 1603028, 51515, 1189809, 27290, 사예, 무한
侯이똘망, 53, 334, 23934100, 352966, 151, 0, 168388907, 1196776, 42803, 795132, 34890, 사예, 전룡제후
궤도민수, 173, 958, 23885752, 122285, 9159, 0, 111572217, 341493, 45129, 662640, 26040, 서촉, 하마
神곰탈여우, 140, 787, 23135427, 187594, 9173, 0, 119927551, 511407, 88313, 0, 30983, 사예, 그룹 없음
無限유선, 141, 786, 23030574, 197016, 400, 0, 115633999, 510948, 41112, 1052267, 31670, 사예, 무한
으따뭐시다요, 130, 712, 22882134, 261782, 8685, 0, 98846971, 625845, 48640, 318399, 22116, 서촉, 하마
당돌한농부, 93, 534, 22709257, 241693, 578, 0, 126739294, 851457, 36996, 619647, 29810, 사예, 영농조합
呂두령, 70, 425, 22581016, 364834, 101, 0, 128035375, 1029357, 28197, 717228, 25210, 사예, 전룡제후
킹넬ㆍ, 100, 583, 22427225, 289742, 200, 0, 91417939, 778009, 27644, 316204, 23880, 사예, 그룹 없음
농부테스형, 114, 654, 22392510, 187858, 444, 0, 121970398, 662167, 43942, 462348, 30800, 사예, 영농조합
SP파주형, 150, 826, 22292298, 148877, 1952, 0, 99695321, 472313, 44626, 605571, 25570, 사예, 전룡제후
이스턴, 148, 818, 22255275, 143620, 10942, 0, 100487479, 502588, 41528, 402001, 21220, 서촉, 하마
巛에데, 128, 706, 22254062, 139789, 1149, 0, 121285556, 614726, 46794, 544152, 33120, 사예, 질주
無限대박, 82, 466, 22229501, 339078, 2050, 5765522, 203929370, 970726, 21766, 9000954, 39420, 서촉, 무한
SP부엉이, 75, 434, 22170497, 331730, 1118, 0, 120492477, 984009, 37797, 762591, 27560, 사예, 전룡제후
한무제유철, 101, 584, 22098491, 238226, 9514, 0, 177296156, 792389, 55688, 657359, 34250, 서촉, 하마
巛감토, 160, 892, 21880476, 133147, 101, 0, 130402429, 403114, 34634, 1893067, 32993, 사예, 질주
酒보연사, 186, 1082, 21814715, 66913, 200, 363412, 98794021, 193521, 44984, 6410469, 28490, 서촉, 주점
無帝라면, 76, 439, 21713394, 333127, 405, 0, 155854233, 967510, 34889, 652731, 35316, 사예, 그룹 없음
無限골퍼, 86, 495, 21540458, 304240, 109, 0, 130389931, 887334, 29778, 395448, 30810, 사예, 무한
지와빠, 84, 483, 21495119, 282959, 3407, 0, 142561593, 894528, 56146, 365951, 31623, 서촉, 하마
巛두루이드, 118, 678, 21440277, 174220, 150, 0, 124237270, 645319, 50855, 510113, 32863, 사예, 질주
듀크라이너, 179, 989, 21081504, 151136, 2490, 0, 90179926, 313690, 25858, 757301, 22273, 서촉, 하마
巛진소한, 59, 371, 20982014, 372934, 101, 0, 136575912, 1107720, 31842, 799946, 31590, 사예, 질주
巛궁귀, 137, 769, 20555505, 183605, 2944, 0, 124219988, 530813, 52631, 1427693, 29080, 사예, 질주
정경, 188, 1122, 20441678, 42121, 3814, 0, 103738665, 153181, 31027, 427130, 26705, 파군, 하마
众사치, 38, 267, 20236262, 368580, 1037, 0, 147002209, 1407838, 31267, 284829, 32420, 사예, 주점
SP은마아팟, 81, 463, 20229806, 278076, 926, 0, 111694530, 926853, 32759, 643232, 29350, 사예, 전룡제후
후니농부, 125, 693, 20210301, 240796, 980, 0, 116879581, 643830, 38487, 948874, 32880, 사예, 영농조합
관음사, 124, 692, 19869681, 221446, 350, 0, 109119829, 631699, 34265, 1407303, 29060, 사예, 주점
비루스, 69, 416, 19783919, 408637, 500, 0, 132014114, 1025722, 28756, 205930, 33073, 사예, 무한
딱구, 106, 608, 19692315, 272549, 3912, 0, 112688618, 761458, 41235, 568221, 29439, 서촉, 하마
