회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
힘으로해결, 181, 1009, 13744344, 31788, 5118, 0, 135190694, 140685, 127378, 435594, 35570, 서촉, 전룡제후
농부테스형, 105, 601, 13576492, 86790, 50, 0, 113154380, 561099, 43548, 462348, 30910, 사예, 영농조합
탐스러워, 65, 398, 13495042, 178512, 1875, 0, 148156995, 815360, 43369, 784830, 26770, 서촉, 하마
미칸, 106, 603, 13294166, 135677, 940, 0, 117536438, 577652, 42193, 772621, 20963, 서촉, 하마
無限워니쭈니, 59, 356, 13037262, 139048, 228, 0, 157823674, 866949, 36161, 709257, 33520, 사예, 무한
RZ곤, 49, 317, 13030957, 210012, 5190, 0, 145994039, 973471, 61853, 250559, 23983, 서촉, 하마
통도사, 11, 87, 13012105, 237987, 0, 0, 177938572, 1633473, 23082, 493921, 36270, 사예, 주점
巛아카, 175, 956, 12975682, 42618, 0, 0, 112889212, 279636, 23060, 600998, 28530, 사예, 질주
SP용랑, 16, 100, 12941820, 223198, 0, 0, 149380958, 1547993, 49237, 297918, 34500, 사예, 전룡제후
無限대박, 76, 445, 12852958, 153031, 1650, 665847, 194552827, 784679, 21366, 3901279, 39420, 서촉, 무한
공대생농부, 191, 1150, 12844480, 22153, 101, 5832455, 84262136, 110885, 3716, 11213975, 21690, 사예, 영농조합
一갓스무디, 122, 685, 12837952, 62791, 50, 1435265, 89157586, 485498, 61431, 5867313, 28670, 사예, 그룹 없음
無帝제갈송, 127, 712, 12774441, 89224, 0, 0, 147171389, 520402, 3496, 121722, 37003, 사예, 그룹 없음
神곰탈여우, 137, 754, 12756548, 88897, 8290, 0, 109548672, 412710, 87430, 0, 27793, 파군, 그룹 없음
巛삐카츄, 8, 77, 12615069, 248437, 50, 0, 163533641, 1676402, 31156, 86308, 30560, 사예, 질주
無限오리꽥꽥, 135, 750, 12515998, 69613, 252, 1151310, 126097332, 416887, 53130, 2647614, 30820, 사예, 무한
탱구, 152, 839, 12426785, 64000, 531, 0, 144473441, 376584, 14858, 355009, 26010, 서촉, 하마
더블샷콘파냐, 156, 873, 12361819, 55462, 2226, 0, 139256773, 339872, 29660, 636633, 29950, 서촉, 하마
