회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
超귀신좀비, 109, 674, 48600, 0, 0, 0, 68634269, 59780, 24113, 62937, 27303, 양양, 그룹 없음
켄나, 13, 215, 47391, 951, 0, 0, 53428907, 229315, 12858, 94196, 16270, 양양, 인연別
無限스티브, 186, 1027, 41547, 0, 0, 0, 30530253, 18355, 15945, 1264186, 19590, 양양, 그룹 없음
新유유, 108, 667, 14073, 0, 0, 0, 62574669, 80310, 16879, 299168, 21830, 양양, 신의악단
휴식라니, 200, 1290, 4476, 90, 0, 0, 7513773, 1223, 350, 1187655, 4390, 양양, 그룹 없음
친절한개백정, 189, 1081, 3075, 0, 0, 307557, 44325417, 19766, 6875, 389773, 15150, 양양, 인연別
新크러시, 180, 983, 15, 0, 0, 0, 55263978, 21958, 27260, 657725, 16066, 양양, 신의악단
別타막, 148, 823, 0, 0, 0, 0, 41938549, 59923, 13172, 61394, 19640, 양양, 인연別
누이새참농부, 168, 901, 0, 0, 350, 0, 35791358, 30837, 27752, 236439, 20300, 양양, 그룹 없음
新옙솔루트, 193, 1157, 0, 0, 35, 0, 9255270, 6532, 6334, 2645107, 13042, 강동, 신의악단
別용라핀, 190, 1087, 0, 0, 0, 0, 36848743, 22580, 3509, 202697, 13850, 양양, 인연別
別미추, 74, 542, 0, 0, 0, 0, 54904364, 113295, 22436, 279690, 23220, 양양, 인연別
상또, 110, 681, 0, 0, 0, 0, 81334663, 92418, 11873, 100632, 24830, 양양, 그룹 없음
남유ヘ, 166, 895, 0, 0, 0, 0, 31540598, 44777, 15716, 368108, 17470, 양양, 그룹 없음
锋다리, 105, 652, 0, 0, 0, 0, 43670293, 61027, 35731, 143410, 23470, 양양, 그룹 없음
Lilith, 85, 579, 0, 0, 0, 0, 47779577, 104684, 16100, 136797, 20120, 양양, 인연別
오전이는농부, 79, 561, 0, 0, 0, 0, 67514962, 107779, 15389, 0, 20980, 양양, 그룹 없음
緣알바트로스, 198, 1279, 0, 0, 350, 0, 8017230, 0, 2940, 970700, 14700, 양양, 인연別부
가평군의무, 194, 1181, 0, 0, 0, 0, 20288804, 6006, 7067, 1676511, 15070, 양양, 그룹 없음
아빠別, 146, 819, 0, 0, 0, 0, 50613962, 70090, 6674, 1211345, 22250, 양양, 인연別
緣춘자, 81, 569, 0, 0, 0, 0, 64309068, 92613, 21984, 151177, 24910, 양양, 인연別
친절한돼지, 51, 435, 0, 0, 0, 0, 58905250, 143841, 28703, 187356, 21360, 양양, 인연別
뇽뇽농부, 176, 945, 0, 0, 0, 0, 65713144, 34579, 17692, 210412, 25273, 양양, 그룹 없음
無限골퍼, 125, 731, 0, 0, 0, 0, 42374499, 66865, 17442, 83210, 19920, 양양, 그룹 없음
